"ParamID";"Enable";"ReadRegister";"WriteRegister";"DisplayText";"Scale";"Offset";"TotalBytes";"NumUsedBits";"MinVal";"MaxVal"
"C8_EXH_PRT_TEMP";0;228;;"Температура отработавших газов в отверстии цилиндра 8 с канала передачи данных";0,03125;-273;2;16;-273;1735
"C9_EXH_PRT_TEMP";0;229;;"Температура отработавших газов в отверстии цилиндра 9 с канала передачи данных";0,03125;-273;2;16;-273;1735
"C10_EXH_PRT_TEMP";0;230;;"Температура отработавших газов в отверстии цилиндра 10 с канала передачи данных";0,03125;-273;2;16;-273;1735
"C11_EXH_PRT_TEMP";0;231;;"Температура отработавших газов в отверстии цилиндра 11 с канала передачи данных";0,03125;-273;2;16;-273;1735
"C12_EXH_PRT_TEMP";0;232;;"Температура отработавших газов в отверстии цилиндра 12 с канала передачи данных";0,03125;-273;2;16;-273;1735
"C13_EXH_PRT_TEMP";0;233;;"Температура отработавших газов в отверстии цилиндра 13 с канала передачи данных";0,03125;-273;2;16;-273;1735
"C14_EXH_PRT_TEMP";0;234;;"Температура отработавших газов в отверстии цилиндра 14 с канала передачи данных";0,03125;-273;2;16;-273;1735
"C15_EXH_PRT_TEMP";0;235;;"Температура отработавших газов в отверстии цилиндра 15 с канала передачи данных";0,03125;-273;2;16;-273;1735
"C16_EXH_PRT_TEMP";0;236;;"Температура отработавших газов в отверстии цилиндра 16 с канала передачи данных";0,03125;-273;2;16;-273;1735
"C17_EXH_PRT_TEMP";0;237;;"Температура отработавших газов в отверстии цилиндра 17 с канала передачи данных";0,03125;-273;2;16;-273;1735
"C18_EXH_PRT_TEMP";0;238;;"Температура отработавших газов в отверстии цилиндра 18 с канала передачи данных";0,03125;-273;2;16;-273;1735
"C19_EXH_PRT_TEMP";0;239;;"Температура отработавших газов в отверстии цилиндра 19 с канала передачи данных";0,03125;-273;2;16;-273;1735
"C20_EXH_PRT_TEMP";0;240;;"Температура отработавших газов в отверстии цилиндра 20 с канала передачи данных";0,03125;-273;2;16;-273;1735
"DL_EX_MFD_1_TEMP";0;241;;"Температура коллектора 1 отработавших газов с канала передачи данных";0,03125;-273;2;16;-273;1735
"DL_EX_MFD_2_TEMP";0;242;;"Температура коллектора 2 отработавших газов с канала передачи данных";0,03125;-273;2;16;-273;1735
"DL_IN_MFD_1_TEMP";0;243;;"Температура впускного коллектора 1 с канала передачи данных";0,03125;-273;2;16;-273;1735
"DL_IN_MFD_2_TEMP";0;244;;"Температура впускного коллектора 2 с канала передачи данных";0,03125;-273;2;16;-273;1735
"DL_ENG_OIL_TEMP";0;245;;"Температура масла в двигателе с канала передачи данных";0,03125;-273;2;16;-273;1735
"DL_FUEL_PRESS";0;247;;"Давление топлива с канала передачи данных";0,125;0;2;16;0;8031,875
"DL_CRANK_PRESS";0;248;;"Давление в картере двигателя с канала передачи данных";0,0078125;-250;2;16;-250;251,99
"DL_IN_MFD_1_PRES";0;249;;"Давление впускного коллектора 1 с канала передачи данных";0,125;0;2;16;0;8031,875
"DL_OFLT_DIF_PRES";0;251;;"Перепад давления масляного фильтра с канала передачи данных";0,125;0;2;16;0;8031,875
"DL_FFLT_DIF_PRES";0;252;;"Перепад давления топливного фильтра с канала передачи данных";0,125;0;2;16;0;8031,875
"DL_AFLT_DIF_PRES";0;253;;"Перепад давления воздушного фильтра с канала передачи данных";0,0078125;-250;2;16;-250;251,99
